t,private_company,public_company,sum,,,,,,,,
2021-09-23,25736,181443,207179,,,,,,,,
2021-09-24,25736,181443,207179,,,,,,,,
2021-09-25,25736,181443,207179,,,,,,,,
2021-09-26,25736,181443,207179,,,,,,,,
2021-09-27,25736,181443,207179,,,,,,,,
2021-09-28,25736,181443,207179,,,,,,,,
2021-09-29,25736,181443,207179,,,,,,,,
2021-09-30,25736,183360,209096,,,,,,,,
2021-10-01,25736,183360,209096,,,,,,,,
2021-10-02,25736,183360,209096,,,,,,,,
2021-10-03,25736,183360,209096,,,,,,,,
2021-10-04,25736,183360,209096,,,,,,,,
2021-10-05,25736,183360,209096,,,,,,,,
2021-10-06,25736,183360,209096,,,,,,,,
2021-10-07,25736,183360,209096,,,,,,,,
2021-10-08,25736,183360,209096,,,,,,,,
2021-10-09,25736,183360,209096,,,,,,,,
2021-10-10,25736,183360,209096,,,,,,,,
2021-10-11,25736,183360,209096,,,,,,,,
2021-10-12,25736,183360,209096,,,,,,,,
2021-10-13,25736,183360,209096,,,,,,,,
2021-10-14,25736,183360,209096,,,,,,,,
2021-10-15,25736,183360,209096,,,,,,,,
2021-10-16,25736,183360,209096,,,,,,,,
2021-10-17,25736,183360,209096,,,,,,,,
2021-10-18,25736,183360,209096,,,,,,,,
2021-10-19,25736,183360,209096,,,,,,,,
2021-10-20,25736,183360,209096,,,,,,,,
2021-10-21,25736,183360,209096,,,,,,,,
2021-10-22,25736,183360,209096,,,,,,,,
2021-10-23,25736,183360,209096,,,,,,,,
2021-10-24,25736,183360,209096,,,,,,,,
2021-10-25,25736,183360,209096,,,,,,,,
2021-10-26,25736,183360,209096,,,,,,,,
2021-10-27,25736,183360,209096,,,,,,,,
2021-10-28,25736,183360,209096,,,,,,,,
2021-10-29,25736,183360,209096,,,,,,,,
2021-10-30,25736,183360,209096,,,,,,,,
2021-10-31,25736,183360,209096,,,,,,,,
2021-11-01,25736,183360,209096,,,,,,,,
2021-11-02,25736,183360,209096,,,,,,,,
2021-11-03,25736,183360,209096,,,,,,,,
2021-11-04,25736,183360,209096,,,,,,,,
2021-11-05,25736,183360,209096,,,,,,,,
2021-11-06,25736,183360,209096,,,,,,,,
2021-11-07,25736,183360,209096,,,,,,,,
2021-11-08,25736,183360,209096,,,,,,,,
2021-11-09,25736,183360,209096,,,,,,,,
2021-11-10,25736,183360,209096,,,,,,,,
2021-11-11,25736,183360,209096,,,,,,,,
2021-11-12,25736,183360,209096,,,,,,,,
2021-11-13,25736,183360,209096,,,,,,,,
2021-11-14,25736,183360,209096,,,,,,,,
2021-11-15,25736,183360,209096,,,,,,,,
2021-11-16,25736,183360,209096,,,,,,,,
2021-11-17,25736,183360,209096,,,,,,,,
2021-11-18,25736,183360,209096,,,,,,,,
2021-11-19,25736,183360,209096,,,,,,,,
2021-11-20,25736,183360,209096,,,,,,,,
2021-11-21,25736,183360,209096,,,,,,,,
2021-11-22,25736,183360,209096,,,,,,,,
2021-11-23,25736,183360,209096,,,,,,,,
2021-11-24,25736,183360,209096,,,,,,,,
2021-11-25,25736,183360,209096,,,,,,,,
2021-11-26,25736,183360,209096,,,,,,,,
