t,treasuries,gold,loans_and_private_equity,private_credit,treasuries_7dma,gold_7dma,loans_and_private_equity_7dma,private_credit_7dma
2021-10-13,8589516.816,485472859.4,0.0001,69523819.54,8611067.389,486857066.8,0.0001,71188103.46
2021-10-14,8630506.446,486238413.1,0.0001,69609772.3,8614179.129,485892740,0.0001,70972369.64
2021-10-15,9853654.319,471482920.7,0.0001,71495172.04,8789786.942,482996882.2,0.0001,70994388.46
2021-10-16,9078481.377,471247345.2,0.0001,70726683.94,8854932.286,481169505.1,0.0001,70884680.95
2021-10-17,9115994.273,467526079.9,0.0001,70600398.19,8928904.302,478477475.5,0.0001,70739013.05
2021-10-18,9130492.538,467195164.2,0.0001,70750844.09,9002762.54,475789153.8,0.0001,70618881.29
2021-10-19,9266773.582,469084125.7,0.0001,71613352.44,9095059.907,474035272.6,0.0001,70617148.93
2021-10-20,9357089.656,471455788,0.0001,71610276.63,9204713.17,472032833.8,0.0001,70915214.23
2021-10-21,9293401.108,473188420.5,0.0001,72239280.01,9299412.408,470168549.2,0.0001,71290858.19
2021-10-22,9334703.774,462265613.3,0.0001,77344301.97,9225276.615,468851791,0.0001,72126448.18
2021-10-23,9236896.489,462300842.1,0.0001,72342787.19,9247907.346,467573719.1,0.0001,72357320.07
2021-10-24,9290632.111,469316752.6,0.0001,73130938.14,9272855.608,467829529.5,0.0001,72718825.78
2021-10-25,9272643.073,464933699.6,0.0001,72805546.92,9293162.828,467506463.1,0.0001,73012354.76
2021-10-26,10494000.92,464768608.1,0.0001,72450502.39,9468481.019,466889960.6,0.0001,73131947.61
2021-10-27,10430561.87,469125898.5,0.0001,74330662.92,9621834.192,466557119.2,0.0001,73520574.22
2021-10-28,10450819.26,465662693,0.0001,74050297.03,9787179.642,465482015.3,0.0001,73779290.94
2021-10-29,10464982.94,447712565.6,0.0001,74392421.8,9948648.095,463403008.5,0.0001,73357593.77
2021-10-30,10456493.21,443143790.5,0.0001,73919479.01,10122876.2,460666286.8,0.0001,73582835.46
2021-10-31,10439848.51,444516254.5,0.0001,74918513.81,10287049.97,457123358.5,0.0001,73838203.41
2021-11-01,10463292.14,452177090.7,0.0001,74819715.81,10457142.69,455300985.8,0.0001,74125941.82
2021-11-02,10429023.1,450130726.6,0.0001,74876526.08,10447860.15,453209859.9,0.0001,74472516.64
2021-11-03,10396622.4,456220637.4,0.0001,74790003.72,10443011.65,451366251.2,0.0001,74538136.75
2021-11-04,10330495.93,455908958.6,0.0001,74752716.56,10425822.6,449972860.6,0.0001,74638482.4
2021-11-05,9981130.325,458370585.9,0.0001,74450625.46,10356700.8,451495434.9,0.0001,74646797.21
2021-11-06,9975118.673,459260487.8,0.0001,73615685.9,10287933.01,453797820.2,0.0001,74603398.19
2021-11-07,9997470.348,459493041,0.0001,73521972.36,10224736.13,455937361.1,0.0001,74403892.27
2021-11-08,9991632.422,451694190.7,0.0001,73798514.22,10157356.17,455868375.4,0.0001,74258006.33
2021-11-09,11349828.44,456452890,0.0001,73999209.36,10288899.79,456771541.6,0.0001,74132675.37
2021-11-10,11367715.56,460019428.9,0.0001,73963596.5,10427627.39,457314226.1,0.0001,74014617.19
2021-11-11,11369074.6,459677230.4,0.0001,74274519.12,10575995.77,457852550.7,0.0001,73946303.27
2021-11-12,11346690.4,457582933.4,0.0001,74214303.26,10771075.78,457740028.9,0.0001,73912542.96
2021-11-13,11362603.36,459850143.7,0.0001,74608596.43,10969287.88,457824265.4,0.0001,74054387.32
2021-11-14,11383569.85,456793891,0.0001,74924960.62,11167302.09,457438672.6,0.0001,74254814.22
2021-11-15,11380008.83,459602142.8,0.0001,75859396.45,11365641.58,458568380,0.0001,74549225.96
2021-11-16,11368844.19,459473736.3,0.0001,74800576.51,11368358.11,458999929.5,0.0001,74663706.98
2021-11-17,11491432.33,459867707.7,0.0001,74947823.22,11386031.94,458978255,0.0001,74804310.8
2021-11-18,12228466.45,459178131.1,0.0001,75687975.69,11508802.2,458906955.1,0.0001,75006233.17
2021-11-19,16219879.71,460161942.7,0.0001,76301676.32,12204972.1,459275385,0.0001,75304429.32
2021-11-20,16404372.39,457345021,0.0001,80798013.52,12925224.82,458917510.4,0.0001,76188631.76
2021-11-21,16315276.48,460030279,0.0001,81728000.96,13629754.34,459379851.5,0.0001,77160494.67
2021-11-22,15672031.48,462554563.1,0.0001,80722714.44,14242900.43,459801625.8,0.0001,77855254.38
2021-11-23,15181844.28,456681284.2,0.0001,79992992,14787614.73,459402704.1,0.0001,78597028.02
2021-11-24,15206861.3,457684729.9,0.0001,79361469.9,15318390.3,459090850.1,0.0001,79227548.98
2021-11-25,15225309.55,460228436.6,0.0001,79434412.57,15746510.74,459240893.8,0.0001,79762754.24
2021-11-26,15201292.94,457582609.7,0.0001,79324408.8,15600998.35,458872417.6,0.0001,80194573.17
2021-11-27,15225482.19,457112233.6,0.0001,79273201.35,15432585.46,458839162.3,0.0001,79976742.86
2021-11-28,15126355.95,460097994,0.0001,79065030.26,15262739.67,458848835.9,0.0001,79596318.47
2021-11-29,15199489.02,455531102.8,0.0001,79256518.75,15195233.6,457845484.4,0.0001,79386861.95
2021-11-30,15272336.42,461339171.9,0.0001,81266076.45,15208161.05,458510896.9,0.0001,79568731.15
2021-12-01,13382506.12,460439800.3,0.0001,78873500.39,14947538.88,458904478.4,0.0001,79499021.22
2021-12-02,13372219.23,464121546.4,0.0001,79087663.3,14682811.7,459460637,0.0001,79449485.61
2021-12-03,13585820.4,457207956.6,0.0001,79174759.59,14452029.9,459407115.1,0.0001,79428107.16
