t,Open,High,Low,Close,Adj_Close,Volume,date,BalanceBTC,CostBasisUSD,ChangeBTC,InvestedUSD,BuyPriceUSD,MarketCap,TotalOutstanding,PriceUSD,BitcoinValueUSD,UnrealisedGainUSD,MVRV,CostBasisPriceUSD,BTCperShare,USDperShare,Yield,ExpandingPctChange,mNAV,BTCPctTotal,USDPctTotal,PremiumUSD
2024-03-25 00:00:00+00:00,160.50,187.3650055,159.4420013,185.6000061,185.6000061,38840000,2024-03-25 00:00:00+00:00,214246,7533000000,0,0,67380.48886,31492841036,169681250,70042.02042,15006222708,7473222708,1.99206461,35160.51642,0.001262638,88.437719,0.097611826,0.097611826,2.098652116,0.479941756,0.271949458,16486618328
2024-03-26 00:00:00+00:00,188.2429962,190.9499969,179.1999969,187.6990051,187.6990051,23939000,2024-03-26 00:00:00+00:00,214246,7533000000,0,0,67380.48886,31849001814,169681250,70071.04721,15012441582,7479441582,1.992890161,35160.51642,0.001262638,88.47436933,0.097611826,0.097611826,2.121507127,0.479941756,0.271949458,16836560232
2024-03-27 00:00:00+00:00,195.3000031,199.9989929,184.1999969,191.9160004,191.9160004,26226000,2024-03-27 00:00:00+00:00,214246,7533000000,0,0,67380.48886,32564546837,169681250,69267.88798,14840367929,7307367929,1.970047515,35160.51642,0.001262638,87.46026994,0.097611826,0.097611826,2.194322068,0.479941756,0.271949458,17724178908
2024-03-28 00:00:00+00:00,194.3000031,198.8999939,164.55,170.4559937,170.4559937,45559000,2024-03-28 00:00:00+00:00,214246,7533000000,0,0,67380.48886,28923186073,169681250,70826.89687,15174379347,7641379347,2.014387276,35160.51642,0.001262638,89.42873386,0.097611826,0.097611826,1.906053975,0.479941756,0.271949458,13748806726
2024-03-31 00:00:00+00:00,194.3000031,198.8999939,164.55,170.4559937,170.4559937,45559000,2024-03-31 00:00:00+00:00,214278,7535000000,32,2000000,62500,28923186073,169681250,71227.45179,15262475916,7727475916,2.025544249,35164.59926,0.001262827,89.94792245,0.097775767,0.097775767,1.895052037,0.480013441,0.272021661,13660710157
2024-04-01 00:00:00+00:00,164.5010071,169.0189972,158.66,163.673996,163.673996,19930000,2024-04-01 00:00:00+00:00,214278,7535000000,0,0,62500,27772408229,169681250,69791.62773,14954810407,7419810407,1.984712728,35164.59926,0.001262827,88.13472559,0.097775767,0.097775767,1.857088621,0.480013441,0.272021661,12817597822
2024-04-02 00:00:00+00:00,149.1999969,159.23,146.2940063,157.8829956,157.8829956,18546000,2024-04-02 00:00:00+00:00,214278,7535000000,0,0,62500,26789784048,169681250,65533.75484,14042441919,6507441919,1.863628655,35164.59926,0.001262827,82.75777034,0.097775767,0.097775767,1.907772466,0.480013441,0.272021661,12747342129
2024-04-03 00:00:00+00:00,158.0010071,169.9490051,156.8320007,160.6109924,160.6109924,19772000,2024-04-03 00:00:00+00:00,214278,7535000000,0,0,62500,27252673960,169681250,66130.21624,14170250475,6635250475,1.88059064,35164.59926,0.001262827,83.51099768,0.097775767,0.097775767,1.923231633,0.480013441,0.272021661,13082423485
2024-04-04 00:00:00+00:00,169.2980042,173.9720001,161.0099945,161.5420074,161.5420074,20171000,2024-04-04 00:00:00+00:00,214278,7535000000,0,0,62500,27410649751,169681250,68438.13502,14664786697,7129786697,1.946222521,35164.59926,0.001262827,86.42549897,0.097775767,0.097775767,1.869147524,0.480013441,0.272021661,12745863054
2024-04-05 00:00:00+00:00,157.00,167.4250031,143.1999969,143.8999939,143.8999939,22740000,2024-04-05 00:00:00+00:00,214278,7535000000,0,0,62500,24417130839,169681250,67904.90948,14550528193,7015528193,1.931058818,35164.59926,0.001262827,85.75212755,0.09940899,0.09940899,1.678092404,0.480013441,0.272021661,9866602646
2024-04-08 00:00:00+00:00,160.2100067,162.378006,149.1199951,151.298996,151.298996,20574000,2024-04-08 00:00:00+00:00,214278,7535000000,0,0,62500,25672602760,169681250,71712.79728,15366474776,7831474776,2.039346354,35164.59926,0.001262827,90.56082965,0.09940899,0.09940899,1.670689155,0.480013441,0.272021661,10306127984
