t,treasuries,gold,loans_and_private_equity,private_credit,,,,,,,
2022-03-19,27845507.89,412996207.7,0.0001,182574404.6,,,,,,,
2022-03-20,27804566.77,415746527.3,0.0001,182254489.9,,,,,,,
2022-03-21,27833527.67,415626558.1,0.0001,172219778.3,,,,,,,
2022-03-22,28066216.17,415739881.7,0.0001,172122244,,,,,,,
2022-03-23,27969748.15,415728627.5,0.0001,172428987.4,,,,,,,
2022-03-24,27815720.39,412763682.5,0.0001,171915605.4,,,,,,,
2022-03-25,27956831.05,417392479.3,0.0001,175414219.2,,,,,,,
2022-03-26,27659119.03,419103298.5,0.0001,175105297.6,,,,,,,
2022-03-27,27641764.6,418211259.3,0.0001,175273334.1,,,,,,,
2022-03-28,27623538.49,417630532.1,0.0001,175173688.4,,,,,,,
2022-03-29,27664335.27,418264006.2,0.0001,175160738.7,,,,,,,
2022-03-30,27351780.22,417175000.8,0.0001,176358190.1,,,,,,,
2022-03-31,29488384.07,416460074.5,0.0001,178890869.6,,,,,,,
2022-04-01,29363922.18,414672215.1,0.0001,179127549.7,,,,,,,
2022-04-02,29481949.94,412412954.4,0.0001,177789679,,,,,,,
2022-04-03,29497994.96,415531159.9,0.0001,177470173.6,,,,,,,
2022-04-04,29493671.39,412844758,0.0001,177183731.8,,,,,,,
2022-04-05,28984555.11,413433330.8,0.0001,177222288.4,,,,,,,
2022-04-06,28982143.22,413354885.8,0.0001,177475775.3,,,,,,,
2022-04-07,33632947.47,414532498.4,0.0001,177174805.1,,,,,,,
2022-04-08,33257135.61,413608728.6,0.0001,178360414.2,,,,,,,
2022-04-09,32787469.97,415549971.4,0.0001,180530256.6,,,,,,,
2022-04-10,32780857.4,410043603.9,0.0001,177375005.4,,,,,,,
2022-04-11,32036321.85,411185150.5,0.0001,177517110.3,,,,,,,
2022-04-12,32062532.37,414198080.5,0.0001,177581617.4,,,,,,,
2022-04-13,31510059.42,413635397.4,0.0001,174993295,,,,,,,
2022-04-14,31464872.55,413983319.4,0.0001,176436325,,,,,,,
2022-04-15,31478122.24,413097083.3,0.0001,176691015.2,,,,,,,
2022-04-16,31381478.61,412204211.3,0.0001,177569180.2,,,,,,,
2022-04-17,31365905.3,415269369.3,0.0001,176987732.7,,,,,,,
2022-04-18,31149693.35,415439604.5,0.0001,176854617.3,,,,,,,
2022-04-19,34502259.92,413243953.5,0.0001,181268577,,,,,,,
2022-04-20,34477328.29,414092987.8,0.0001,181204250.9,,,,,,,
2022-04-21,34317724.31,410836006.9,0.0001,181097070.9,,,,,,,
2022-04-22,33834382.42,412703525.7,0.0001,181412440.9,,,,,,,
2022-04-23,33847095.36,414522199.6,0.0001,181560339.1,,,,,,,
2022-04-24,33912224.17,413671863,0.0001,181677016.9,,,,,,,
2022-04-25,33813226.29,407030835.2,0.0001,181902438,,,,,,,
